[04-Feb-2024 15:43:28 America/Mexico_City] PHP Warning:  Undefined array key "file" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 11
[04-Feb-2024 15:43:30 America/Mexico_City] PHP Warning:  Undefined array key "file" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 11
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Warning:  Undefined variable $filePath in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 8
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Deprecated:  is_dir(): Passing null to parameter #1 ($filename) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 8
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Warning:  Undefined variable $filePath in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 9
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Deprecated:  mkdir(): Passing null to parameter #1 ($directory) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 9
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Warning:  mkdir(): Invalid path in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 9
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Warning:  Undefined variable $filePath in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 12
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Warning:  move_uploaded_file(/General complementarias_300124_bloque 11.xlsx): Failed to open stream: Read-only file system in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 19
[04-Feb-2024 16:09:08 America/Mexico_City] PHP Warning:  move_uploaded_file(): Unable to move &quot;/private/var/folders/90/vrx654hd6lv4t70p1mlq725m0000gn/T/phpQoRywf&quot; to &quot;/General complementarias_300124_bloque 11.xlsx&quot; in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 19
[04-Feb-2024 16:13:47 America/Mexico_City] PHP Warning:  Undefined array key "tmp_nam" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 19
[04-Feb-2024 16:13:47 America/Mexico_City] PHP Deprecated:  move_uploaded_file(): Passing null to parameter #1 ($from) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 19
[04-Feb-2024 16:25:55 America/Mexico_City] PHP Warning:  require_once(libraries/$nameClass.php): Failed to open stream: No such file or directory in /Users/juancarlosromerolorenzo/Documents/www/sql/application/index.php on line 11
[04-Feb-2024 16:25:55 America/Mexico_City] PHP Fatal error:  Uncaught Error: Failed opening required 'libraries/$nameClass.php' (include_path='.:/usr/local/Cellar/php/8.1.11/share/php/pear') in /Users/juancarlosromerolorenzo/Documents/www/sql/application/index.php:11
Stack trace:
#0 /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php(6): {closure}('LibraryPhpSprea...')
#1 /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Core.php(34): Index->__construct()
#2 /Users/juancarlosromerolorenzo/Documents/www/sql/public/index.php(6): Core->__construct()
#3 {main}
  thrown in /Users/juancarlosromerolorenzo/Documents/www/sql/application/index.php on line 11
[04-Feb-2024 18:14:21 America/Mexico_City] PHP Fatal error:  Uncaught Error: Call to undefined method ResourcesFunctions::removeAccents() in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php:36
Stack trace:
#0 /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php(60): ResourcesFunctions->createSlug('11VO BLOQUE')
#1 /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php(50): Index->validateHeadFile(Array)
#2 /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Core.php(52): Index->index()
#3 /Users/juancarlosromerolorenzo/Documents/www/sql/public/index.php(6): Core->__construct()
#4 {main}
  thrown in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 36
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
